iter	Passed	Remaining
0	1	1159
1	1	842
2	2	718
3	2	659
4	3	628
5	3	608
6	4	602
7	4	598
8	5	604
9	6	602
10	6	598
11	7	602
12	8	607
13	8	612
14	9	622
15	10	623
16	10	622
17	11	620
18	11	612
19	12	604
20	12	598
21	13	591
22	13	586
23	14	581
24	14	577
25	15	572
26	15	568
27	16	564
28	16	561
29	17	557
30	17	554
31	18	550
32	18	544
33	19	541
34	19	538
35	20	536
36	20	532
37	20	529
38	21	528
39	21	526
40	22	523
41	22	522
42	23	519
43	23	518
44	24	516
45	24	514
46	25	513
47	25	511
48	26	509
49	26	508
50	27	507
51	27	506
52	28	505
53	28	503
54	29	502
55	29	500
56	30	499
57	30	498
58	31	496
59	31	496
60	32	495
61	32	493
62	33	492
63	33	491
64	34	491
65	34	489
66	35	489
67	35	488
68	36	487
69	36	486
70	37	485
71	37	484
72	38	483
73	38	482
74	39	483
75	39	482
76	40	481
77	40	480
78	41	480
79	41	478
80	42	478
81	42	477
82	43	476
83	43	475
84	44	474
85	44	473
86	45	472
87	45	471
88	46	471
89	46	470
90	47	469
91	47	469
92	48	468
93	48	467
94	49	467
95	49	466
96	49	465
97	50	464
98	50	463
99	51	463
100	51	462
101	52	462
102	52	461
103	53	460
104	53	459
105	54	458
106	54	457
107	55	456
108	55	456
109	56	455
110	56	455
111	57	454
112	57	453
113	58	452
114	58	452
115	59	451
116	59	450
117	60	449
118	60	449
119	61	448
120	61	447
121	62	447
122	62	446
123	63	445
124	63	444
125	64	444
126	64	443
127	64	442
128	65	442
129	66	441
130	66	441
131	66	440
132	67	439
133	67	439
134	68	438
135	68	437
136	69	437
137	69	436
138	70	435
139	70	435
140	71	434
141	71	433
142	72	433
143	72	432
144	73	431
145	73	431
146	74	430
147	74	430
148	75	429
149	75	429
150	76	428
151	76	427
152	77	427
153	77	426
154	78	425
155	78	425
156	79	424
157	79	424
158	80	423
159	80	422
160	80	421
161	81	421
162	81	420
163	82	420
164	82	419
165	83	418
166	83	418
167	84	417
168	84	417
169	85	416
170	85	415
171	86	415
172	86	414
173	87	414
174	87	413
175	88	412
176	88	412
177	89	411
178	89	411
179	90	410
180	90	409
181	91	409
182	91	408
183	92	408
184	92	407
185	93	407
186	93	406
187	93	405
188	94	405
189	94	404
190	95	404
191	95	403
192	96	403
193	96	402
194	97	402
195	97	400
196	98	399
197	98	399
198	99	398
199	99	398
200	100	397
201	100	397
202	101	396
203	101	396
204	102	395
205	102	395
206	102	393
207	103	393
208	103	392
209	104	392
210	104	391
211	105	391
212	105	390
213	106	390
214	106	389
215	107	389
216	107	388
217	108	388
218	108	387
219	109	387
220	109	386
221	110	385
222	110	385
223	111	384
224	111	384
225	112	383
226	112	383
227	113	382
228	113	382
229	114	381
230	114	381
231	114	380
232	115	380
233	115	379
234	116	379
235	116	378
236	117	378
237	117	377
238	118	376
239	118	376
240	119	375
241	119	375
242	120	374
243	120	374
244	121	373
245	121	373
246	122	372
247	122	372
248	123	371
249	123	371
250	124	370
251	124	370
252	125	369
253	125	369
254	126	368
255	126	368
256	127	367
257	127	367
258	128	366
259	128	366
260	129	365
261	129	365
262	130	364
263	130	364
264	131	363
265	131	363
266	132	362
267	132	362
268	133	361
269	133	361
270	134	360
271	134	359
272	134	359
273	135	359
274	136	359
275	136	358
276	137	358
277	137	357
278	138	357
279	138	356
280	139	356
281	139	355
282	140	355
283	140	354
284	141	353
285	141	353
286	142	353
287	142	352
288	143	351
289	143	351
290	144	350
291	144	350
292	145	349
293	145	349
294	146	348
295	146	348
296	146	347
297	147	347
298	147	346
299	148	346
300	148	345
301	149	345
302	149	344
303	150	344
304	150	343
305	151	343
306	151	342
307	152	342
308	152	341
309	153	341
310	153	340
311	154	340
312	154	339
313	155	339
314	155	338
315	156	338
316	156	337
317	157	337
318	157	336
319	158	336
320	158	335
321	159	335
322	159	334
323	160	334
324	160	333
325	161	333
326	161	332
327	162	332
328	162	331
329	163	331
330	163	330
331	164	330
332	164	329
333	165	329
334	165	328
335	166	328
336	166	327
337	167	327
338	167	326
339	167	326
340	168	325
341	168	325
342	169	324
343	169	324
344	170	323
345	170	323
346	171	322
347	171	322
348	172	321
349	172	320
350	173	320
351	173	319
352	174	319
353	174	318
354	175	318
355	175	317
356	176	317
357	176	316
358	177	316
359	177	316
360	178	315
361	178	315
362	179	314
363	179	314
364	180	313
365	180	313
366	181	312
367	181	312
368	182	311
369	182	311
370	183	310
371	183	310
372	184	309
373	184	309
374	185	308
375	185	308
376	186	307
377	186	307
378	187	306
379	187	306
380	188	305
381	188	305
382	189	304
383	189	304
384	190	304
385	190	303
386	191	303
387	191	302
388	192	302
389	192	301
390	193	301
391	193	300
392	194	300
393	194	299
394	195	298
395	195	298
396	196	298
397	196	297
398	197	297
399	197	296
400	198	296
401	198	295
402	199	295
403	199	294
404	200	294
405	200	293
406	201	293
407	201	292
408	202	292
409	202	291
410	203	291
411	203	290
412	204	290
413	204	289
414	205	289
415	205	288
416	206	288
417	206	287
418	207	287
419	207	286
420	208	286
421	208	285
422	209	285
423	209	285
424	210	284
425	210	284
426	211	283
427	211	283
428	212	282
429	212	282
430	213	281
431	213	281
432	214	280
433	214	280
434	215	279
435	215	279
436	216	278
437	216	278
438	217	277
439	217	277
440	218	276
441	218	276
442	219	275
443	219	275
444	220	274
445	220	274
446	221	273
447	221	273
448	222	272
449	222	272
450	223	271
451	223	271
452	224	270
453	224	270
454	225	269
455	225	269
456	226	268
457	226	268
458	227	267
459	227	267
460	228	266
461	228	266
462	229	265
463	229	265
464	230	264
465	230	264
466	231	263
467	231	263
468	232	262
469	232	262
470	233	261
471	233	261
472	234	260
473	234	260
474	235	259
475	235	259
476	236	258
477	236	258
478	237	257
479	237	257
480	238	256
481	238	256
482	239	255
483	239	255
484	240	254
485	240	254
486	241	253
487	241	253
488	242	252
489	242	252
490	243	251
491	243	251
492	244	250
493	244	250
494	245	249
495	245	249
496	245	248
497	246	248
498	246	247
499	247	247
500	247	246
501	248	246
502	248	245
503	249	245
504	249	244
505	250	244
506	250	243
507	251	243
508	251	242
509	252	242
510	252	241
511	253	241
512	253	240
513	254	240
514	254	239
515	255	239
516	255	239
517	256	238
518	256	238
519	257	237
520	257	237
521	258	236
522	258	236
523	259	235
524	259	235
525	260	234
526	260	234
527	261	233
528	261	233
529	262	232
530	262	232
531	263	231
532	263	231
533	264	230
534	264	230
535	265	229
536	265	229
537	266	228
538	266	228
539	267	227
540	267	227
541	268	226
542	268	226
543	269	225
544	269	225
545	270	224
546	270	224
547	271	223
548	271	223
549	272	222
550	272	222
551	273	221
552	273	221
553	274	220
554	274	220
555	275	219
556	275	219
557	276	218
558	276	218
559	277	217
560	277	217
561	278	216
562	278	216
563	279	215
564	279	215
565	280	214
566	280	214
567	281	213
568	281	213
569	282	212
570	282	212
571	283	211
572	283	211
573	283	210
574	284	210
575	284	209
576	285	209
577	285	208
578	286	208
579	286	207
580	287	207
581	287	206
582	288	206
583	288	205
584	289	205
585	289	204
586	290	204
587	290	203
588	291	203
589	291	202
590	292	202
591	292	201
592	293	201
593	293	200
594	294	200
595	294	199
596	295	199
597	295	198
598	296	198
599	296	197
600	297	197
601	297	196
602	298	196
603	298	195
604	299	195
605	299	194
606	300	194
607	300	193
608	301	193
609	301	192
610	302	192
611	302	191
612	303	191
613	303	190
614	304	190
615	304	189
616	305	189
617	305	188
618	306	188
619	306	187
620	307	187
621	307	186
622	308	186
623	308	185
624	309	185
625	309	184
626	310	184
627	310	183
628	311	183
629	311	182
630	312	182
631	312	181
632	313	181
633	313	180
634	314	180
635	314	180
636	315	179
637	315	179
638	316	178
639	316	178
640	317	177
641	317	177
642	318	176
643	318	176
644	318	175
645	319	175
646	319	174
647	320	174
648	320	173
649	321	173
650	321	172
651	322	172
652	322	171
653	323	171
654	323	170
655	324	170
656	324	169
657	325	169
658	325	168
659	326	168
660	326	167
661	327	167
662	327	166
663	328	166
664	328	165
665	329	165
666	329	164
667	330	164
668	330	163
669	331	163
670	331	162
671	332	162
672	332	161
673	333	161
674	333	160
675	334	160
676	334	159
677	335	159
678	335	158
679	336	158
680	336	157
681	337	157
682	337	156
683	338	156
684	338	155
685	339	155
686	339	154
687	340	154
688	340	153
689	341	153
690	341	152
691	342	152
692	342	151
693	343	151
694	343	150
695	344	150
696	344	149
697	345	149
698	345	148
699	346	148
700	346	147
701	347	147
702	347	146
703	348	146
704	351	146
705	351	146
706	352	146
707	352	145
708	353	144
709	353	144
710	354	143
711	354	143
712	355	142
713	355	142
714	356	141
715	356	141
716	356	140
717	357	140
718	357	139
719	358	139
720	358	138
721	359	138
722	359	137
723	360	137
724	360	136
725	361	136
726	361	135
727	362	135
728	362	134
729	363	134
730	363	133
731	364	133
732	364	132
733	364	132
734	365	131
735	365	131
736	366	130
737	366	130
738	367	129
739	367	129
740	368	128
741	368	128
742	369	127
743	369	127
744	370	126
745	370	126
746	371	125
747	371	125
748	372	124
749	372	124
750	373	123
751	373	123
752	374	122
753	374	122
754	374	121
755	375	121
756	375	120
757	376	120
758	376	119
759	377	119
760	377	118
761	378	118
762	378	117
763	379	117
764	379	116
765	380	116
766	380	115
767	381	115
768	381	114
769	382	114
770	382	113
771	383	113
772	383	112
773	384	112
774	384	111
775	385	111
776	385	110
777	385	110
778	386	109
779	386	109
780	387	108
781	387	108
782	388	107
783	388	107
784	389	106
785	389	106
786	390	105
787	390	105
788	391	104
789	391	104
790	392	103
791	392	103
792	393	102
793	393	102
794	394	101
795	394	101
796	395	100
797	395	100
798	396	99
799	396	99
800	396	98
801	397	98
802	397	97
803	398	97
804	398	96
805	399	96
806	399	95
807	400	95
808	400	94
809	401	94
810	401	93
811	402	93
812	402	92
813	403	92
814	403	91
815	404	91
816	404	90
817	405	90
818	405	89
819	406	89
820	406	88
821	407	88
822	407	87
823	408	87
824	408	86
825	409	86
826	409	85
827	410	85
828	410	84
829	411	84
830	411	83
831	412	83
832	412	82
833	413	82
834	413	81
835	414	81
836	414	80
837	415	80
838	415	79
839	416	79
840	416	78
841	416	78
842	417	77
843	417	77
844	418	76
845	418	76
846	419	75
847	419	75
848	420	74
849	420	74
850	421	73
851	421	73
852	422	72
853	422	72
854	423	71
855	423	71
856	424	70
857	424	70
858	425	69
859	425	69
860	426	68
861	426	68
862	427	67
863	427	67
864	428	66
865	428	66
866	428	65
867	429	65
868	429	64
869	430	64
870	430	63
871	431	63
872	431	62
873	432	62
874	432	61
875	433	61
876	433	60
877	434	60
878	434	59
879	435	59
880	435	58
881	436	58
882	436	57
883	437	57
884	437	56
885	438	56
886	438	55
887	439	55
888	439	54
889	440	54
890	440	53
891	441	53
892	441	52
893	442	52
894	442	51
895	443	51
896	443	50
897	443	50
898	444	49
899	444	49
900	445	48
901	445	48
902	446	47
903	446	47
904	447	46
905	447	46
906	448	45
907	448	45
908	449	44
909	449	44
910	450	43
911	450	43
912	451	43
913	451	42
914	452	42
915	452	41
916	453	41
917	453	40
918	454	40
919	454	39
920	455	39
921	455	38
922	456	38
923	456	37
924	457	37
925	457	36
926	458	36
927	458	35
928	459	35
929	459	34
930	460	34
931	460	33
932	461	33
933	461	32
934	462	32
935	462	31
936	463	31
937	463	30
938	464	30
939	464	29
940	465	29
