,open,close,high,low,value,volume,timestamp,segment,target
0,264.89,264.89,264.89,264.89,68129707.9999999,257200.0,2023-10-10 09:59:00,2023-10-10,264.89
1,264.9,265.09,265.16,264.55,101425604.20000002,383010.0,2023-10-10 10:00:00,2023-10-10,265.09
2,265.09,265.18,265.18,265.06,22702926.8,85630.0,2023-10-10 10:01:00,2023-10-10,265.18
3,265.16,265.09,265.18,264.96,19065399.70000003,71930.0,2023-10-10 10:02:00,2023-10-10,265.09
4,265.08,264.55,265.08,264.45,65729575.19999996,248420.0,2023-10-10 10:03:00,2023-10-10,264.55
5,264.55,264.46,264.55,264.43,26805731.5,101350.0,2023-10-10 10:04:00,2023-10-10,264.46
6,264.46,264.45,264.5,264.43,28975313.999999974,109560.0,2023-10-10 10:05:00,2023-10-10,264.45
7,264.45,263.86,264.45,263.86,159721764.99999988,604720.0,2023-10-10 10:06:00,2023-10-10,263.86
8,263.92,264.1,264.12,263.8,89668623.60000001,339720.0,2023-10-10 10:07:00,2023-10-10,264.1
9,264.1,264.11,264.15,264.03,23618380.39999998,89430.0,2023-10-10 10:08:00,2023-10-10,264.11
10,264.12,264.25,264.25,264.11,35367570.89999999,133900.0,2023-10-10 10:09:00,2023-10-10,264.25
11,264.26,264.22,264.26,264.12,29866520.100000005,113050.0,2023-10-10 10:10:00,2023-10-10,264.22
12,264.22,264.33,264.33,264.21,16933655.300000045,64080.0,2023-10-10 10:11:00,2023-10-10,264.33
13,264.33,264.57,264.59,264.24,92637920.89999996,350300.0,2023-10-10 10:12:00,2023-10-10,264.57
14,264.58,264.79,264.88,264.5,43179801.80000002,163150.0,2023-10-10 10:13:00,2023-10-10,264.79
15,264.77,264.94,264.95,264.72,50296072.000000045,189930.0,2023-10-10 10:14:00,2023-10-10,264.94
16,264.91,264.56,264.94,264.55,22491269.600000035,84970.0,2023-10-10 10:15:00,2023-10-10,264.56
17,264.55,264.6,264.6,264.45,25002891.100000035,94520.0,2023-10-10 10:16:00,2023-10-10,264.6
18,264.59,264.79,264.79,264.58,19032674.10000002,71920.0,2023-10-10 10:17:00,2023-10-10,264.79
19,264.79,264.02,264.81,263.9,123904408.40000002,468850.0,2023-10-10 10:18:00,2023-10-10,264.02
20,264.02,264.22,264.33,264.01,18584614.1,70360.0,2023-10-10 10:19:00,2023-10-10,264.22
